Roller Coaster,Type,Speed (kph),Height (m),Thrill Rating
Zadra,Hybrid,121,63,8.7
Dragon Khan,Steel,110,45,8.5
Furious Baco,Steel,134,35,8.8
Maverick,Steel,115,32,8.3
El Toro,Wooden,113,55,8.6
Twisted Colossus,Hybrid,104,39,8.4
Taron,Steel,117,30,8.9
Steel Vengeance,Hybrid,120,62,9.1
Montu,Steel,104,43,8.2
Storm Chaser,Steel,97,29,8.0
Goliath,Steel,116,48,8.7
Voyage,Wooden,107,46,8.5
Cannibal,Steel,112,54,8.6
Wicked Twister,Steel,105,53,8.1
Wildfire,Hybrid,116,57,8.9
X2,Steel,129,52,8.8
Intimidator 305,Steel,140,93,9.4
GateKeeper,Steel,67,53,7.8
Mako,Steel,118,61,8.9
Oblivion,Steel,109,20,8.0
Helix,Steel,100,41,8.4
Stealth,Steel,128,62,8.7
Kumba,Steel,97,42,8.1
Twisted Timbers,Hybrid,98,34,8.3
Raging Bull,Steel,117,54,8.6
Phantom's Revenge,Steel,148,40,8.8
OzIris,Steel,90,40,8.0
Xcelerator,Steel,130,62,8.9
Ghostrider,Wooden,93,33,8.2
The Smiler,Steel,85,30,8.5
Cheetah Hunt,Steel,96,46,8.4
Thunderbird,Steel,97,37,8.1
Kondaa,Steel,127,49,8.7
SheiKra,Steel,114,61,8.8
Raptor,Steel,91,34,8.2
Behemoth,Steel,125,70,9.1
Storm Runner,Steel,109,46,8.6
Goliath,Wooden,112,37,8.5
Tatsu,Steel,105,55,8.7
Wodan Timbur Coaster,Wooden,92,40,8.4
Silver Star,Steel,130,73,9.0
Gravity Max,Steel,97,37,8.3
Riddler's Revenge,Steel,116,47,8.8
Flying Dinosaur,Steel,100,37,8.7
Jungle Dragon,Steel,82,27,8.0
DC Rivals HyperCoaster,Steel,115,61,8.9
Takabisha,Steel,100,37,8.6
Piraten,Steel,90,30,8.2
Mystic Timbers,Wooden,80,29,8.1
Storm,Steel,80,30,8.0
GaleForce,Steel,112,64,8.7
Copperhead Strike,Steel,97,38,8.5
Icon,Steel,85,28,8.4
Dodonpa,Steel,180,52,9.2
Wicker Man,Wooden,77,21,8.0
Baron 1898,Steel,90,30,8.3
Saw: The Ride,Steel,55,30,7.6
X Flight,Steel,78,35,8.0
Manta,Steel,86,42,8.3
Giant Dipper,Wooden,80,33,8.1
Silver Bullet,Steel,82,33,8.2
The Swarm,Steel,80,38,8.4
Pulsar,Steel,100,45,8.6
Tremors,Wooden,66,33,7.8
Demon,Steel,72,27,7.9
Vampire,Steel,48,13,7.5
Eejanaika,Steel,126,76,9.9
Dinoconda,Steel,120,69,9.8
Iron Rattler,Steel,113,54,8.5
Hades 360,Wooden,96,33,8.3
Lightning Rod,Wooden,97,45,8.9
El Loco,Steel,75,29,7.8
Wodan Timbur Coaster,Wooden,80,40,8.2
Coaster Through the Clouds,Steel,130,61,8.7
T Express,Wooden,104,56,8.8
Mako,Steel,118,61,8.9
Twisted Horn,Hybrid,92,27,8.1
HangTime,Steel,96,37,8.4
Velocicoaster,Steel,112,47,9.0
Time Machine,Steel,70,30,7.7
Storm Runner,Steel,97,46,8.6
Wild Eagle,Steel,98,51,8.2
Big Dipper,Wooden,57,22,7.5
Tornado,Steel,77,25,8.0
Kraken,Steel,105,43,8.5
Phantom's Revenge,Steel,148,40,8.8
Joker,Steel,64,30,7.9
Blue Fire,Steel,100,38,8.3
Cu Chulainn,Wooden,90,30,8.2
Wacky Worm,Steel,40,10,2.0
ThunderBolt,Hybrid,105,38,8.0
LightningRush,Steel,120,50,8.5
TwistedTwist,Wooden,95,30,7.8
SkySurge,Steel,115,55,8.3
PhantomTwist,Steel,100,42,8.0
StormRider,Hybrid,98,34,8.1
ThunderStrike,Steel,125,60,8.7
WildWhirl,Wooden,92,28,7.9
CometChase,Steel,112,48,8.4
VortexVoyage,Steel,118,52  
