Cichlid,Growth Rate,Initial Size,End Size,Diet Type,Tank Size,Water Temperature
Dovii,2.3,4.2,16.5,Omnivore,950,25.5
Dovii,1.9,4.1,15.8,Carnivore,820,26.2
Dovii,1.7,4.3,14.9,Herbivore,670,25.8
Midas,1.6,4.0,13.4,Omnivore,980,26.8
Midas,1.4,4.2,12.7,Carnivore,800,25.7
Midas,1.1,4.1,11.9,Herbivore,720,26.0
Dovii,1.9,4.3,15.7,Omnivore,960,25.2
Dovii,1.6,4.2,14.8,Carnivore,830,26.5
Dovii,1.4,4.1,13.5,Herbivore,690,25.6
Midas,1.3,4.0,12.2,Omnivore,940,25.9
Midas,1.0,4.2,11.1,Carnivore,810,26.3
Midas,0.8,4.1,9.8,Herbivore,670,25.4
Dovii,2.2,4.0,15.2,Omnivore,920,26.1
Dovii,1.8,4.2,14.5,Carnivore,790,25.3
Dovii,1.5,4.1,13.8,Herbivore,660,26.7
Midas,1.4,4.0,12.5,Omnivore,970,26.6
Midas,1.2,4.2,11.3,Carnivore,800,25.1
Midas,0.9,4.1,10.1,Herbivore,710,25.0
Dovii,2.0,4.3,15.1,Omnivore,930,25.4
Dovii,1.7,4.2,14.4,Carnivore,800,26.7
Dovii,1.4,4.1,13.7,Herbivore,670,25.9
Midas,1.3,4.0,12.4,Omnivore,960,26.3
Midas,1.1,4.2,11.2,Carnivore,820,25.8
Midas,0.8,4.1,9.9,Herbivore,680,25.5
Dovii,2.1,4.0,14.8,Omnivore,900,26.0
Dovii,1.8,4.2,14.1,Carnivore,770,26.4
Dovii,1.5,4.1,13.4,Herbivore,640,25.7
Midas,1.4,4.0,12.1,Omnivore,950,26.2
Midas,1.2,4.2,10.9,Carnivore,820,25.6
Midas,0.9,4.1,9.6,Herbivore,690,26.0
Dovii,2.0,4.3,14.7,Omnivore,910,26.5
Dovii,1.7,4.2,14.0,Carnivore,780,25.9
Dovii,1.4,4.1,13.3,Herbivore,650,26.3
Midas,1.3,4.0,12.0,Omnivore,940,25.4
Midas,1.0,4.2,10.8,Carnivore,810,26.8
Midas,0.7,4.1,9.5,Herbivore,670,25.7
Dovii,2.2,4.0,14.9,Omnivore,920,26.1
Dovii,1.8,4.2,14.2,Carnivore,790,25.5
Dovii,1.5,4.1,13.5,Herbivore,660,26.0
Midas,1.4,4.0,12.2,Omnivore,970,26.5
Midas,1.2,4.2,11.0,Carnivore,830,25.8
Midas,0.9,4.1,9.7,Herbivore,700,25.3
Dovii,2.1,4.3,15.0,Omnivore,930,25.6
Dovii,1.7,4.2,14.3,Carnivore,800,26.9
Dovii,1.4,4.1,13.6,Herbivore,670,25.2
Midas,1.3,4.0,12.3,Omnivore,960,25.5
Midas,1.1,4.2,11.1,Carnivore,820,26.1
Midas,0.8,4.1,9.8,Herbivore,680,26.5
Dovii,2.0,4.0,14.8,Omnivore,900,25.9
Dovii,1.8,4.2,14.1,Carnivore,770,26.2
Dovii,1.5,4.1,13.4,Herbivore,640,25.7
Midas,1.4,4.0,12.1,Omnivore,950,26.4
Midas,1.2,4.2,10.9,Carnivore,820,25.8
Midas,0.9,4.1,9.6,Herbivore,690,26.2
Dovii,2.2,4.3,14.7,Omnivore,910,25.5
Dovii,1.7,4.2,14.0,Carnivore,780,26.0
Dovii,1.4,4.1,13.3,Herbivore,650,26.3
Midas,1.3,4.0,12.0,Omnivore,940,25.4
Midas,1.0,4.2,10.8,Carnivore,810,26.8
Midas,0.7,4.1,9.5,Herbivore,670,25.7
Dovii,2.0,4.3,14.9,Omnivore,920,26.1
Dovii,1.8,4.2,14.2,Carnivore,790,25.5
Dovii,1.5,4.1,13.5,Herbivore,660,26.0
Midas,1.4,4.0,12.2,Omnivore,970,26.5
Midas,1.2,4.2,11.0,Carnivore,830,25.8
Midas,0.9,4.1,9.7,Herbivore,700,25.3
Dovii,2.4,4.4,17.1,Omnivore,980,25.3
Dovii,1.9,4.2,15.8,Carnivore,810,26.7
Dovii,1.6,4.3,14.9,Herbivore,660,25.9
Midas,1.5,4.1,13.3,Omnivore,950,26.8
Midas,1.3,4.2,12.7,Carnivore,790,25.7
Midas,1.0,4.1,11.9,Herbivore,710,26.0
Dovii,2.1,4.3,15.7,Omnivore,970,25.2
Dovii,1.6,4.2,14.8,Carnivore,830,26.5
Dovii,1.3,4.1,13.5,Herbivore,690,25.6
Midas,1.2,4.0,12.2,Omnivore,940,25.9
Midas,1.0,4.2,11.1,Carnivore,810,26.3
Midas,0.8,4.1,9.8,Herbivore,670,25.4
Dovii,2.2,4.0,15.2,Omnivore,920,26.1
Dovii,1.8,4.2,14.5,Carnivore,790,25.3
Dovii,1.5,4.1,13.8,Herbivore,660,26.7
Midas,1.4,4.0,12.5,Omnivore,970,26.6
Midas,1.2,4.2,11.3,Carnivore,800,25.1
Midas,0.9,4.1,10.1,Herbivore,710,25.0
Dovii,2.0,4.3,15.1,Omnivore,930,25.4
Dovii,1.7,4.2,14.4,Carnivore,800,26.7
Dovii,1.4,4.1,13.7,Herbivore,670,25.9
Midas,1.3,4.0,12.4,Omnivore,960,26.3
Midas,1.1,4.2,11.2,Carnivore,820,25.8
Midas,0.8,4.1,9.9,Herbivore,680,25.5
Dovii,2.3,4.0,14.8,Omnivore,900,26.0
Dovii,1.8,4.2,14.1,Carnivore,770,26.4
Dovii,1.5,4.1,13.4,Herbivore,640,25.7
Midas,1.4,4.0,12.1,Omnivore,950,26.4
Midas,1.2,4.2,10.9,Carnivore,820,25.8
Midas,0.9,4.1,9.6,Herbivore,690,26.2
Dovii,2.2,4.3,14.7,Omnivore,910,25.5
Dovii,1.7,4.2,14.0,Carnivore,780,26.0
Dovii,1.4,4.1,13.3,Herbivore,650,26.3
Midas,1.3,4.0,12.0,Omnivore,940,25.4
Midas,1.0,4.2,10.8,Carnivore,810,26.8
Midas,0.7,4.1,9.5,Herbivore,670,25.7
Dovii,2.1,4.0,14.8,Omnivore,900,26.2
Dovii,1.8,4.2,14.1,Carnivore,770,25.5
Dovii,1.5,4.1,13.4,Herbivore,640,26.0
Midas,1.4,4.0,12.1,Omnivore,950,26.5
Midas,1.2,4.2,10.9,Carnivore,820,25.8
Midas,0.9,4.1,9.6,Herbivore,690,26.2
Dovii,2.2,4.3,14.7,Omnivore,910,25.5
Dovii,1.7,4.2,14.0,Carnivore,780,26.0
Dovii,1.4,4.1,13.3,Herbivore,650,26.3
Midas,1.3,4.0,12.0,Omnivore,940,25.4
Midas,1.0,4.2,10.8,Carnivore,810,26.8
Midas,0.7,4.1,9.5,Herbivore,670,25.7
