Roller Coaster,Type,Speed (kph),Height (m),Thrill Rating
Formula Rossa,Steel,240,52,100.0
Kingda Ka,Steel,206,139,100.0
Top Thrill Dragster,Steel,193,128,100.0
Steel Dragon 2000,Steel,153,97,100.0
Fury 325,Steel,153,99,100.0
Millennium Force,Steel,150,94,100.0
Leviathan,Steel,148,93,100.0
Intimidator 305,Steel,145,93,100.0
Red Force,Steel,180,112,100.0
Superman: Escape from Krypton,Steel,161,126,100.0
Lightning Rod,Hybrid,117,63,100.0
Steel Vengeance,Hybrid,119,62,100.0
Wildfire,Hybrid,114,57,100.0
Outlaw Run,Hybrid,109,49,100.0
Iron Rattler,Hybrid,113,55,100.0
El Toro,Wooden,113,55,100.0
The Voyage,Wooden,108,53,100.0
The Beast,Wooden,103,34,100.0
Shambhala,Steel,134,76,80.0
Expedition GeForce,Steel,119,53,80.0
Helix,Steel,100,41,80.0
Taron,Steel,116,30,80.0
Maverick,Steel,113,32,80.0
Nemesis,Steel,80,13,80.0
Montu,Steel,97,46,80.0
The Smiler,Steel,84,22,80.0
Colossos,Wooden,110,50,80.0
Balder,Wooden,90,36,80.0
Phoenix,Wooden,72,24,80.0
Boulder Dash,Wooden,97,38,80.0
Twisted Colossus,Hybrid,92,39,80.0
Twisted Timbers,Hybrid,87,34,80.0
Wicked Cyclone,Hybrid,89,33,80.0
Goliath,Hybrid,116,50,80.0
Storm Chaser,Hybrid,84,30,80.0
X2,Steel,122,53,100.0
Eejanaika,Steel,126,76,100.0
Dinoconda,Steel,129,61,100.0
The Flying Dinosaur,Steel,100,38,100.0
Tatsu,Steel,100,52,100.0
Manta,Steel,90,43,80.0
Flying Aces,Steel,121,61,80.0
Starry Sky Ripper,Steel,100,50,80.0
Crystal Wing,Steel,79,40,80.0
FLY,Steel,80,30,80.0
The Ultimate,Steel,80,33,60.0
Steel Force,Steel,121,61,60.0
Magnum XL-200,Steel,116,62,60.0
Desperado,Steel,129,64,60.0
Mako,Steel,117,61,60.0
Goliath,Steel,137,72,60.0
Titan,Steel,137,75,60.0
Hyperion,Steel,142,77,60.0
Orion,Steel,147,87,60.0
DC Rivals HyperCoaster,Steel,114,62,60.0
Behemoth,Steel,124,70,60.0
Nitro,Steel,129,70,60.0
Diamondback,Steel,129,70,60.0
Apollo’s Chariot,Steel,117,52,60.0
Raging Bull,Steel,117,62,60.0
Phantom’s Revenge,Steel,137,49,60.0
Superman el Último Escape,Steel,121,67,60.0
Superman: Krypton Coaster,Steel,113,51,60.0
Bizarro,Steel,124,63,60.0
Medusa,Steel,105,46,60.0
Kraken,Steel,105,45,60.0
Kumba,Steel,97,44,60.0
Incredible Hulk,Steel,108,34,60.0
Dragon Khan,Steel,105,45,60.0
Alpengeist,Steel,108,59,60.0
Banshee,Steel,109,51,60.0
Afterburn,Steel,100,34,60.0
Raptor,Steel,92,42,60.0
Batman: The Ride,Steel,80,32,60.0
Katun,Steel,105,50,100.0
Mystic Timbers,Wooden,85,33,80.0
Gold Striker,Wooden,87,33,80.0
Ravine Flyer II,Wooden,97,24,80.0
GhostRider,Wooden,90,36,80.0
Prowler,Wooden,82,26,80.0
Twisted Cyclone,Hybrid,80,30,80.0
RailBlazer,Hybrid,85,32,80.0
Wonder Woman Golden Lasso Coaster,Hybrid,85,34,80.0
New Texas Giant,Hybrid,105,49,80.0
Joker,Hybrid,58,36,80.0
Hades 360,Wooden,97,42,80.0
Renegade,Wooden,82,31,80.0
Thunderhead,Wooden,88,30,80.0
Lightning Racer,Wooden,80,25,80.0
Boardwalk Bullet,Wooden,80,29,80.0
Texas Stingray,Wooden,88,30,80.0
Mine Blower,Hybrid,77,25,80.0
Switchback,Wooden,64,20,80.0
White Lightning,Wooden,72,24,80.0
Roar-O-Saurus,Wooden,64,12,80.0
